sk8tag,name,lat,lon
sk86dcnn6e,Skatepark,-28.4625206,-65.8142217
sk86dcnp6y,Pista Skate,-28.4613518,-65.7658603
sk86dh04ey,skatepark,-33.7283035,-61.7555964
sk86dhswe6,skatepark,-32.940337,-60.8833806
sk86dhsy4d,Roldán Park,-32.9003611,-60.9051247
sk86dhu5wu,skatepark,-33.0095289,-60.6609078
sk86dhu6tx,skatepark,-32.9721675,-60.7000737
sk86dhu8pw,Street Wheels Funes,-32.9165572,-60.81102
sk86dhude6,skatepark,-32.9402894,-60.706639
sk86dhuetk,Sector Patinetas,-32.9293354,-60.6603061
sk86dhuh7e,skatepark,-33.0264328,-60.6284136
sk86dhukpc,skatepark,-32.959791,-60.6427412
sk86dhus5w,skatepark,-32.9394175,-60.6355092
sk86dhush6,skatepark,-32.9355781,-60.6409524
sk86dhv48z,skatepark,-32.8664194,-60.7003428
sk86dhv9zp,Matías Tute Belnudo,-32.7447215,-60.7336126
sk86dhvf5d,skatepark,-32.7199902,-60.7292135
sk86dj4m0m,San Nicolás Skate Park,-33.3519399,-60.2408847
sk86dkgckt,Skate Park Santo Tomé,-31.6587983,-60.7572725
sk86dkgfs9,Chapas Skate Park,-31.6593457,-60.7079466
sk86dkgfz9,Candioti Skate Park,-31.6433325,-60.6969031
sk86dkgw6k,skatepark,-31.7158982,-60.5394427
sk86dkq0gb,Skate Park,-31.2672528,-61.4895206
sk86dktjeq,skatepark,-31.4469069,-60.9215354
sk86dm184w,skatepark,-32.0654567,-60.4599245
sk86dm1ezw,skatepark,-32.0377071,-60.2957021
sk86dnkhse,Punto Joven,-33.0208191,-58.5088928
sk86dnx4xt,skatepark,-32.4783258,-58.2419107
sk86dpcfjd,skatepark,-33.4114882,-56.5102221
sk86dq4b9w,skatepark,-31.8510272,-59.0321989
sk86dq8tjm,semitubo,-32.2267969,-58.1325968
sk86dqkh6z,Skateboard Centenario,-31.6251799,-58.5143621
sk86dqv25u,Skatepark Concordia,-31.3991727,-58.0020516
sk86dqv2y8,La Fosa,-31.3845646,-57.9737848
sk86dwbbxe,skatepark,-30.7633803,-57.9816159
sk86dwc096,skatepark,-30.7546437,-57.9821024
sk86dxg54x,skatepark,-30.3951368,-56.458761
sk86dxqtnk,skatepark,-29.7593059,-57.0791052
sk86e06e50,skatepark,-27.6685503,-67.0158536
sk86e35dq8,Skate Park,-26.0669023,-65.994235
sk86e97p39,skatepark,-24.775556,-65.4213266
sk86e97r35,skatepark,-24.7353503,-65.4188681
sk86e9d8nd,skatepark,-24.8363995,-65.3871994
sk86e9w3w6,skatepark,-24.1789466,-65.3212484
sk86e9w4fm,skatepark,-24.2446114,-65.2619974
